CATEGORIA;TIPO;MARCA/MODELLO;UBICAZIONE;CODICE;SCHEDA/MANUALE
ATTREZZATURE MANUTENZIONE E PULIZIA;IDROPULITRICE;KAERCHER K7;ZANARDI;ATTR0055;
ATTREZZATURE MANUTENZIONE E PULIZIA;IDROPULITRICE;IDROELETRIKA;ZANARDI;ATTR0056;
STRUMENTI MISURA;ENDOSCOPIO;5M-7mm;LABORATORIO;ATTR0057;
STRUMENTI MISURA;ENDOSCOPIO;EB5210;LABORATORIO;ATTR0058;
STRUMENTI MISURA;ENDOSCOPIO;VIDEO EXPLORER PREMIUM ( 200 SD);ZANARDI;ATTR0059;
ELETTRODOMESTICI;FORNELLI E MICROONDE;MICROONDE A;CINI;ATTR0060;
ELETTRODOMESTICI;FORNELLI E MICROONDE;MICROONDE B;LABORATORIO;ATTR0061;
ELETTRODOMESTICI;FORNELLI E MICROONDE;MICROONDE C;LABORATORIO;ATTR0062;
ELETTRODOMESTICI;FORNELLI E MICROONDE;FORNELLO A;LABORATORIO;ATTR0063;
ELETTRODOMESTICI;FORNELLI E MICROONDE;FORNELLO B;CINI;ATTR0064;
ELETTRODOMESTICI;FRIGO;FRIGO;LABORATORIO;ATTR0086;
STRUMENTI PER LAVORAZIONI;FEIN UTENSILE MULTIUSO;FEIN UTENSILE MULTIUSO;LABORATORIO;ATTR0087;
STRUMENTI PER LAVORAZIONI;LEVIGATRICI;PALMARE ETS EC 150;CINI;ATTR0089;
STRUMENTI PER LAVORAZIONI;LEVIGATRICI;FESTOOL Rotex RO150;LABORATORIO;ATTR0090;
STRUMENTI PER LAVORAZIONI;LEVIGATRICI;PALMARE Black+Decker 55W;LABORATORIO;ATTR0091;
FOTOCAMERE / MICROSCOPI;MACCHINE FOTOGRAFICHE;SONY;CINI;ATTR0092;
FOTOCAMERE / MICROSCOPI;MACCHINE FOTOGRAFICHE;EMMA;?;ATTR0093;
FOTOCAMERE / MICROSCOPI;MACCHINE FOTOGRAFICHE;NIKON;LABORATORIO;ATTR0094;
FOTOCAMERE / MICROSCOPI;MACCHINE FOTOGRAFICHE;NIKON D3300;LABORATORIO;ATTR0095;
FOTOCAMERE / MICROSCOPI;MACCHINE FOTOGRAFICHE;PANASONIC;?;ATTR0096;
ATTREZZATURE LABORATORIO;MACCHINA PLASTIFICATRICE;MACCHINA PLASTIFICATRICE;LABORATORIO;ATTR0097;
ATTREZZATURE LABORATORIO;SCALPELLO CUTTURING;SCALPELLO CUTTURING;ZANARDI;ATTR0098;
ATTREZZATURE LABORATORIO;MICROMOTORE CTS;MICROMOTORE CTS;LABORATORIO;ATTR0099;
ATTREZZATURE LABORATORIO;MISCELATORE AD ELICA YAMATO;MISCELATORE AD ELICA YAMATO;ZANARDI;ATTR0100;
ELETTRODOMESTICI;PHON;PHON A;CINI;ATTR0101;
ELETTRODOMESTICI;PHON;PHON B;LABORATORIO;ATTR0102;
ELETTRODOMESTICI;PISTOLE TERMICHE;PISTOLA A;FRIGERIO;ATTR0103;
ELETTRODOMESTICI;PISTOLE TERMICHE;PISTOLA B;FRIGERIO;ATTR0104;
ELETTRODOMESTICI;PISTOLE TERMICHE;CROWN;SALUTE;ATTR0105;
ELETTRODOMESTICI;PISTOLE TERMICHE;EINHELL;ZANARDI;ATTR0106;
ELETTRODOMESTICI;PISTOLE TERMICHE;Rapid R1800;LABORATORIO;ATTR0107;
ATTREZZATURE LABORATORIO;POMPA A VUOTO;POMPA A VUOTO A;CINI;ATTR0118;
ATTREZZATURE MANUTENZIONE E PULIZIA;VAPORELLE;Vaporella mini Ariete Vaporijet;LABORATORIO;ATTR0119;
ATTREZZATURE MANUTENZIONE E PULIZIA;VAPORELLE;POLTI smart A;ZANARDI;ATTR0120;
ATTREZZATURE MANUTENZIONE E PULIZIA;VAPORELLE;POLTI smart B;ZANARDI;ATTR0121;
ATTREZZATURE MANUTENZIONE E PULIZIA;VAPORELLE;POLTI smart C;ZANARDI;ATTR0122;
ATTREZZATURE MANUTENZIONE E PULIZIA;VAPORELLE;POLTI smart D;ZANARDI;ATTR0123;
ATTREZZATURE MANUTENZIONE E PULIZIA;VAPORELLE;KAERCHER A;ZANARDI;ATTR0124;
ATTREZZATURE MANUTENZIONE E PULIZIA;VAPORELLE;KAERCHER B;ZANARDI;ATTR0125;
ATTREZZATURE MANUTENZIONE E PULIZIA;VAPORELLE;KAERCHER C;ZANARDI;ATTR0126;
ATTREZZATURE MANUTENZIONE E PULIZIA;VAPORELLE;KAERCHER D;PALERMO;ATTR0127;
ATTREZZATURE MANUTENZIONE E PULIZIA;VAPORELLE;KAERCHER E;PALERMO;ATTR0128;
ATTREZZATURE LABORATORIO;RILEGATRICE A SPIRALE;RILEGATRICE;LABORATORIO;ATTR0129;
STRUMENTI MISURA;RILEVATORI DI METALLI;STANLEY;LABORATORIO;ATTR0130;
STRUMENTI MISURA;RILEVATORI UMIDITA';RILEVATORI UMIDITA';LABORATORIO;ATTR0131;
STRUMENTI PER LAVORAZIONI;SEGHETTO ALTERNATIVO;festool PS420 EBQ-PLUS Carvex;LABORATORIO;ATTR0132;
STRUMENTI MISURA;PH-METRI;HANNALAB;LABORATORIO;ATTR0133;
ELETTRODOMESTICI;TERMOVENTILATORE;TRISTAR;ZANARDI;ATTR0134;
STRUMENTI PER LAVORAZIONI;TRONCATRICE;1 Festool KS 60 E KAPEX;ZANARDI;ATTR0135;
CAVI ADATTATORI QUADRI;ADATTATORI;TRIPLO;VALIER;ATTR0002;
CAVI ADATTATORI QUADRI;ADATTATORI;CIVILE INDUSTRIALE A;VALIER;ATTR0003;
CAVI ADATTATORI QUADRI;ADATTATORI;CIVILE INDUSTRIALE B;VALIER;ATTR0004;
CAVI ADATTATORI QUADRI;ADATTATORI;CIVILE INDUSTRIALE C;LABORATORIO;ATTR0005;
CAVI ADATTATORI QUADRI;QUADRi ELETTRICI;Ulisse FENTON SPA 74320 A;ZANARDI;ATTR0034;
CAVI ADATTATORI QUADRI;QUADRi ELETTRICI;Ulisse FENTON SPA 74320 B;ZANARDI;ATTR0035;
CAVI ADATTATORI QUADRI;PROLUNGHE, RUOTE E CAVI ELETTRICI;PROLUNGHE 380 A;SALUTE;ATTR0108;
CAVI ADATTATORI QUADRI;PROLUNGHE, RUOTE E CAVI ELETTRICI;PROLUNGHE 380 B;SALUTE;ATTR0109;
CAVI ADATTATORI QUADRI;PROLUNGHE, RUOTE E CAVI ELETTRICI;PROLUNGA con ruota A;ZANARDI;ATTR0110;
CAVI ADATTATORI QUADRI;PROLUNGHE, RUOTE E CAVI ELETTRICI;PROLUNGA con ruota B;ZANARDI;ATTR0111;
CAVI ADATTATORI QUADRI;PROLUNGHE, RUOTE E CAVI ELETTRICI;PROLUNGA con ruota C;ZANARDI;ATTR0112;
CAVI ADATTATORI QUADRI;PROLUNGHE, RUOTE E CAVI ELETTRICI;PROLUNGA con ruota D;ZANARDI;ATTR0113;
CAVI ADATTATORI QUADRI;PROLUNGHE, RUOTE E CAVI ELETTRICI;PROLUNGA con ruota E;MANDELLI;ATTR0114;
CAVI ADATTATORI QUADRI;PROLUNGHE, RUOTE E CAVI ELETTRICI;PROLUNGA con ruota F;SALUTE;ATTR0115;
CAVI ADATTATORI QUADRI;PROLUNGHE, RUOTE E CAVI ELETTRICI;PROLUNGA con ruota G;SALUTE;ATTR0116;
CAVI ADATTATORI QUADRI;PROLUNGHE, RUOTE E CAVI ELETTRICI;PROLUNGA con ruota H;FRIGERIO;ATTR0117;
LAMPADE/ILLUMINAZIONE;FARETTI E LAMPADE;LAMPADA CON PINZA CTS A;ZANARDI;ATTR0065;
LAMPADE/ILLUMINAZIONE;FARETTI E LAMPADE;LAMPADA CON PINZA CTS B;ZANARDI;ATTR0066;
LAMPADE/ILLUMINAZIONE;FARETTI E LAMPADE;TORCIA LED a pila;VALIER;ATTR0067;
LAMPADE/ILLUMINAZIONE;FARETTI E LAMPADE;LAMPADA DA RITOCCO A;LABORATORIO;ATTR0068;
LAMPADE/ILLUMINAZIONE;FARETTI E LAMPADE;LAMPADA DA RITOCCO B;LABORATORIO;ATTR0069;
LAMPADE/ILLUMINAZIONE;FARETTI E LAMPADE;LAMPADA DA RITOCCO C;CINI;ATTR0070;
LAMPADE/ILLUMINAZIONE;FARETTI E LAMPADE;LAMPADA DA RITOCCO D;CINI;ATTR0071;
LAMPADE/ILLUMINAZIONE;FARETTI E LAMPADE;TREPPIEDI CON LAMPADE DOPPIE A;ZANARDI;ATTR0072;
LAMPADE/ILLUMINAZIONE;FARETTI E LAMPADE;TREPPIEDI CON LAMPADE DOPPIE B;ZANARDI;ATTR0073;
LAMPADE/ILLUMINAZIONE;FARETTI E LAMPADE;TREPPIEDI CON LAMPADE DOPPIE C;ZANARDI;ATTR0074;
LAMPADE/ILLUMINAZIONE;FARETTI E LAMPADE;LUCE A LED MAURER A FILO;SALUTE;ATTR0075;
LAMPADE/ILLUMINAZIONE;FARETTI E LAMPADE;faretto shot 50w;VALIER;ATTR0076;
LAMPADE/ILLUMINAZIONE;FARETTI E LAMPADE;led floodlight100 deg 50w 4000k;VALIER;ATTR0077;
LAMPADE/ILLUMINAZIONE;FARETTI E LAMPADE;led floodlight100 deg 50w 4000k;VALIER;ATTR0078;
LAMPADE/ILLUMINAZIONE;FARETTI E LAMPADE;led floodlight100 deg 50w 4000k;VALIER;ATTR0079;
LAMPADE/ILLUMINAZIONE;FARETTI E LAMPADE;FARETTO A;CINI;ATTR0080;
LAMPADE/ILLUMINAZIONE;FARETTI E LAMPADE;FARETTO B;CINI;ATTR0081;
LAMPADE/ILLUMINAZIONE;FARETTI E LAMPADE;FARETTO C;CINI;ATTR0082;
LAMPADE/ILLUMINAZIONE;FARETTI E LAMPADE;Faretto giallo Obi;FRIGERIO;ATTR0083;
LAMPADE/ILLUMINAZIONE;FARETTI E LAMPADE;Faretto doppio con tripode Tacklife;FRIGERIO;ATTR0084;
LAMPADE/ILLUMINAZIONE;FARETTI E LAMPADE;LEDWANCE 50W;LABORATORIO;ATTR0085;
LAMPADE/ILLUMINAZIONE;LAMPADA AD INFRAROSSI;VEVOR 1AS-1;LABORATORIO;ATTR0088;
TRABATELLI ED ATTREZZATURA VARIA;TRABATELLI;Trabattello Frigerio (BLU);VALIER;ATTR0136;
TRABATELLI ED ATTREZZATURA VARIA;TRABATELLI;Trabattello Frigerio Piccolo (GIALLO);FRIGERIO;ATTR0137;
TRABATELLI ED ATTREZZATURA VARIA;TRABATELLI;Trabattello Frigerio Piccolo (MARRONE);ZANARDI;ATTR0138;
TRABATELLI ED ATTREZZATURA VARIA;TRABATELLI;Trabatello SVELT (MAUVE);CINI;ATTR0139;
TRABATELLI ED ATTREZZATURA VARIA;TRABATELLI;Trabattello in alluminio SVELT (ROSSO);ZANARDI;ATTR0140;
TRABATELLI ED ATTREZZATURA VARIA;TRABATELLI;Trabattello in alluminio SVELT (VERDE);ZANARDI;ATTR0141;
TRABATELLI ED ATTREZZATURA VARIA;TRABATELLI;PEZZI VARI;VALIER;ATTR0142;
TRABATELLI ED ATTREZZATURA VARIA;SCALE;SCALA A;LABORATORIO;ATTR0143;
TRABATELLI ED ATTREZZATURA VARIA;SCALE;SCALA B;?;ATTR0144;
ANTINCENDIO;ESTINTORI;ESTINTORI A;LABORATORIO;ATTR0145;
ANTINCENDIO;ESTINTORI;ESTINTORI B;LABORATORIO;ATTR0146;
ANTINCENDIO;ESTINTORI;ESTINTORI C;CINI;ATTR0147;
ANTINCENDIO;ESTINTORI;ESTINTORI D;CINI;ATTR0148;
ANTINCENDIO;ESTINTORI;ESTINTORI E;ZANARDI;ATTR0149;
ANTINCENDIO;ESTINTORI;ESTINTORI F;ZANARDI;ATTR0150;
TRABATELLI ED ATTREZZATURA VARIA;SCAFFALATURA IN ALLUMINIO;SCAFFALATURA A;ZANARDI;ATTR0151;
TRABATELLI ED ATTREZZATURA VARIA;SCAFFALATURA IN ALLUMINIO;SCAFFALATURA B;ZANARDI;ATTR0152;
TRABATELLI ED ATTREZZATURA VARIA;SCAFFALATURA IN ALLUMINIO;SCAFFALATURA C;ZANARDI;ATTR0153;
TRABATELLI ED ATTREZZATURA VARIA;SCAFFALATURA IN ALLUMINIO;SCAFFALATURA D;ZANARDI;ATTR0154;
TRABATELLI ED ATTREZZATURA VARIA;SCAFFALATURA IN ALLUMINIO;SCAFFALATURA E;ZANARDI;ATTR0155;
TRABATELLI ED ATTREZZATURA VARIA;SCAFFALATURA IN ALLUMINIO;SCAFFALATURA F;ZANARDI;ATTR0156;
TRABATELLI ED ATTREZZATURA VARIA;SCAFFALATURA IN ALLUMINIO;SCAFFALATURA G;ZANARDI;ATTR0157;
TRABATELLI ED ATTREZZATURA VARIA;SCAFFALATURA IN ALLUMINIO;SCAFFALATURA H;ZANARDI;ATTR0158;
TRABATELLI ED ATTREZZATURA VARIA;TABELLONE PUBBLICITARIO SERES;TABELLONE A;ZANARDI;ATTR0159;
TRABATELLI ED ATTREZZATURA VARIA;TABELLONE PUBBLICITARIO SERES;TABELLONE B;ZANARDI;ATTR0160;
ATTREZZATURE LABORATORIO;TERMOCAUTERIO;R&C Mod. T. 100;CINI;ATTR0161;
